,На зерно та зелений корм,,З них на зерно,,,,,
,га,у % до площ під урожай 2020р.,культури зернові,,,,ріпак,
,,,усього,,з них пшениця,,га,у % до площ під урожай 2020р.
,,,га,у % до площ під урожай 2020р.,га,у % до площ під урожай 2020р.,,
Одеська область,827957.23,91.6,698217.52,97.6,476136.97,97.9,128670.82,68.6
м.Одеса,к,к,к,к,к,к,–,–
м.Балта,15899.12,727.1,13631.66,672.2,11491.7,696.9,2267.46,1427.9
м.Білгород-Дністровський,6046.73,68.5,4785.78,73.6,3223.33,91,1260.95,54.3
м.Біляївка,2933.87,138.1,2810.2,206.3,2026.62,326.9,к,к
м.Ізмаїл,к,к,к,к,к,к,к,к
райони,,,,,,,,
Ананьївський,22598.17,93.2,19815.86,87.6,15045.99,79.3,2782.31,173.1
Арцизький,47539.87,94.1,38934.93,105.5,22182.03,100.3,8604.94,63.7
Балтський,7488.43,35.1,6849,39.3,5226.23,37.7,639.43,16.3
Білгород-Дністровський,48609.2,86.8,35279.04,92.1,23338.51,91.7,13225.98,75.4
Біляївський,25090.64,88.9,24118.05,94.9,18195.95,100.3,652,25.9
Березівський,36208.85,78.9,28875.47,75.8,22608.3,78.8,7038.38,94.5
Болградський,39790.18,97.1,28518.98,76,16479.58,76.2,11271.2,325
Великомихайлівський,42379.5,97.7,35536.1,95.8,25018.56,101.8,6843.4,108.8
Іванівський,35693.09,98.8,33359.22,105.4,22653.22,104.7,2264.75,51.3
Ізмаїльський,39169.18,102.7,36541.77,116.6,21863.3,117.2,2627.41,38.7
Кілійський,19834.94,85.6,19145.01,87.4,10547.85,85.6,689.93,54.6
Кодимський,12720.82,126.4,12139.82,136.6,8769.62,144.6,581,49.2
Лиманський,56547.96,92.5,39041.93,100.4,27222.8,108.1,17506.03,78.7
Подільський,19982.96,90.8,19529.96,94.8,13669.99,91.7,453,32.3
Окнянський,28357.75,95.9,22627.71,101.3,17899.78,110.6,5730.04,79.3
Любашівський,20580.24,88,19125.02,94.6,14082.99,86.3,1455.22,45.9
Миколаївський,16773.68,76.9,16033.18,100.2,12419.39,95.3,740.5,12.7
Овідіопольський,21584.4,96.6,18782.4,104.8,11645.79,101.7,2522,60.3
Роздільнянський,36756.97,77.1,34614.33,102.8,27981.56,107.7,2142.64,15.3
Ренійський,9661.55,77.7,9043.55,73.4,3908.81,56.9,618,588.6
Савранський,8426.09,96.7,6489.09,84.8,4389.89,74.8,1937,183.8
Саратський,65448.89,89.9,50786.25,104.9,31667.06,110.6,14662.64,60.9
Тарутинський,57929.93,91.2,47767.09,97.8,32717.83,89.8,10162.84,69.1
Татарбунарський,31297.55,89.9,26993.04,99.1,13271.75,95.6,4304.51,56.9
Захарівський,13285.09,100,12094.28,102.2,9159.71,102.7,1190.81,82.3
Ширяївський,37478.73,99.3,33270.95,107.9,26678.88,112.1,4207.78,60.9